# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 15 06:53:30 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,0,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0,2.09,0.64,-0.63,0,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,2.78,0.69,-0.69,0,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,0,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0,1.78,0.43,-0.29,0,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,1,2,Radial Velocity,2002,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,0.91,0.11,-0.11,0,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,1.08,0.04,-0.04,0,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,Radial Velocity,2020,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0,1.22,0.13,-0.14,0,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,2,1,Radial Velocity,2008,0,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,2926.24614,50.85255,-24.47279,0,9.20700,0.16000,-0.07700,0,2.10,0.13,-0.09,0,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,0,,,,,330.000000,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,0.85,0.20,-0.10,0,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,12.0572000,0.0022750,-0.0022750
24 Boo b,24 Boo,1,1,Radial Velocity,2018,0,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,280.64248,11.44182,-13.66662,0,0.88300,0.03600,-0.04300,0,1.05,0.27,-0.18,0,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,5.3339000,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,6.2037400,0.0004976,-0.0004976
